Person_ID,Gender,Age,LengthOfService,Admin Role,International Assignee,Is Mobile,YearlyPay
64,woman,30.88713071,9.734016038,1,0,0,98825.0659
65,woman,27.99109532,6.727318632,0,0,0,76775.55715
66,woman,21.84900827,10.02562112,0,0,0,80852.76503
67,woman,32.31391128,9.070598587,0,0,0,128179.3437
68,woman,25.46350818,10.59611079,0,0,1,125584.878
69,woman,30.25972698,7.326765484,0,0,1,83809.57945
70,woman,33.64545281,9.489345943,1,0,0,65620.68792
71,woman,30.64491455,8.141232808,0,0,0,74928.6202
72,woman,35.69700342,9.065833192,0,0,1,111352.4068
73,woman,23.8258709,11.15557513,0,0,0,124582.9112
74,woman,32.01170821,6.417427566,0,0,0,80710.7571
75,woman,26.57594955,3.145242622,1,0,1,44594.02633
76,woman,25.64601425,7.80009568,0,0,"""0""",56238.40325
77,woman,27.10575168,8.880262505,1,0,"""0""",57814.53362
78,woman,28.44223734,7.575245695,1,0,"""0""",57699.96489
79,woman,30.28082671,6.376155802,0,0,"""0""",112815.9739
80,woman,24.1742508,5.702880102,0,0,"""0""",67827.49901
81,woman,34.50413243,7.164599594,0,0,"""0""",64467.3662
82,woman,32.3283122,7.620361531,0,0,1,62145.29625
83,woman,22.31878157,4.861696262,0,0,0,93723.48538
84,woman,37.44126097,9.424776606,0,0,0,86340.35829
85,woman,39.47944588,7.193330196,0,0,0,70246.33511
86,woman,35.89389786,8.398519127,0,0,0,111368.5784
87,woman,29.10037582,5.978407316,0,0,0,109157.3948
88,woman,24.64623689,6.5025632,0,0,0,105318.0376
89,woman,35.27225863,7.305054795,0,0,0,105454.8074
90,woman,27.98411527,9.098047987,0,0,1,145082.2617
91,woman,36.11222535,5.376545951,0,0,0,60674.82033
92,woman,31.04137489,8.905997113,0,0,0,106628.8436
93,woman,34.88319518,10.52997587,0,0,1,163400.0714
94,woman,31.78183199,5.343409265,0,0,0,55612.67088
95,woman,33.53286584,12.53896487,0,0,0,143804.7864
96,woman,30.0525001,4.054793736,1,0,0,78005.5387
97,woman,38.92935247,7.716506553,1,0,1,86567.54666
98,woman,30.63456046,12.09782105,0,0,0,62597.02907
99,woman,32.00994682,9.369609005,1,0,0,91859.09442
100,woman,39.41575349,5.627171123,0,0,0,56935.50813
101,woman,23.26120469,8.019067202,1,1,1,136652.2298
102,woman,23.64757501,9.102702019,0,0,0,115839.234
103,woman,34.84698354,8.993446434,0,0,"""1""",132580.5905
104,woman,24.13438297,6.99555812,0,0,0,106952.3662
105,woman,39.71810593,9.527217028,0,0,1,166167.7531
106,woman,27.9319051,9.498698583,0,0,0,123711.3991
107,woman,26.26272594,9.977485404,1,0,0,86746.99388
108,woman,39.61471013,10.10692092,0,0,0,143088.8304
109,woman,37.40257396,6.958305156,0,0,0,89715.04739
110,woman,39.3377948,11.18614537,0,0,0,147040.0951
111,woman,34.53022329,10.38925985,0,0,0,136927.6902
112,woman,25.69387157,5.611810503,1,0,0,49128.76702
113,woman,39.55032477,6.611773897,1,0,0,85366.42209
114,woman,28.65998315,7.449318199,0,0,0,115608.9417
115,woman,34.01228198,8.683693587,0,0,0,109928.5851
116,woman,34.73625984,7.201466994,1,0,0,61854.02685
117,woman,29.22494953,8.028871486,1,0,0,65554.16776
118,woman,33.07039685,7.681100714,0,0,0,123037.021
119,woman,34.61103336,7.087223616,0,0,0,86636.45274
120,woman,31.88212766,10.8055871,1,0,0,75507.43205
121,woman,24.50299605,8.48228786,1,0,0,87095.94988
122,woman,31.49119087,8.014495177,0,0,0,54628.46345
123,woman,36.63192948,6.246929039,1,0,0,94200.93153
124,woman,26.5271607,8.912284988,0,0,0,100155.9046
125,woman,29.2518273,7.80395264,1,0,0,49061.44243
126,woman,27.82423224,5.9828175,0,0,0,107341.6397
127,woman,39.24631864,5.293345509,0,0,0,120319.7565
128,woman,33.36147379,6.283772169,0,0,0,97799.97954
129,woman,32.03730918,9.612393634,1,0,0,67006.95411
130,woman,26.15041963,5.872105481,0,0,1,58767.43929
131,woman,32.69624596,7.78836449,0,0,1,88508.08915
132,woman,26.6283367,8.855233742,1,0,0,64880.28477
133,woman,30.15915279,6.352079325,1,0,0,46719.9363
134,woman,26.82076961,11.61796961,0,0,0,130690.8792
135,woman,33.38216647,4.840272574,0,0,0,109543.5749
136,woman,32.88295408,7.939557337,0,0,1,146751.8805
137,woman,28.95850622,7.361207705,0,0,0,58717.88461
138,woman,31.98003356,9.055599346,0,0,1,77500.92559
139,woman,24.53469246,5.068278619,0,0,0,58388.39669
140,woman,22.54371204,9.187848447,1,0,0,79776.72263
141,woman,32.19695851,6.260747425,0,0,0,96010.12855
142,woman,30.83336748,8.736713321,0,0,0,124585.1872
143,woman,33.17515718,8.902104464,0,0,0,109684.4434
144,woman,41.91572387,9.19371276,0,0,0,142539.4775
145,woman,34.72239743,5.708686751,0,0,0,115906.8522
146,woman,25.43588887,7.873811609,1,0,0,86220.93941
147,woman,35.58508144,7.854981947,1,0,0,98499.32478
148,woman,23.42046295,6.695626736,0,0,0,42987.59904
149,woman,27.69207698,11.88142073,0,0,0,132949.3267
150,woman,29.65879197,4.000599689,0,0,0,99751.87474
151,woman,38.56671361,7.053314851,0,0,"""1""",127933.2124
152,woman,26.27622589,6.63560329,0,0,0,74223.66298
153,woman,25.86780731,3.986417827,0,0,0,62812.10361
154,woman,29.50773738,7.606181891,0,0,0,117559.822
155,woman,26.68260857,8.023562261,0,0,0,80000.40368
156,woman,35.63317961,9.726804213,1,0,0,104574.0574
157,woman,24.60034246,9.098086301,1,0,0,68313.63051
158,woman,24.26265674,9.007252013,0,0,0,116309.8392
159,woman,27.81089978,9.755438957,0,0,0,105624.3407
160,woman,27.50983775,6.99800717,0,0,0,111824.6801
161,woman,39.64766027,7.504630713,0,0,0,94666.41491
162,woman,34.74710403,9.538399321,1,0,0,58206.12622
163,woman,30.43775621,7.122083574,0,0,0,71656.1857
164,woman,23.87282241,9.525235936,0,0,0,117979.3057
165,woman,34.22181488,6.010601194,0,0,0,116691.9841
166,woman,24.99892326,6.199560029,0,0,0,104344.2848
167,woman,22.27614452,7.528360334,1,0,0,45545.5901
168,woman,35.94014896,9.111788242,1,0,0,67152.58588
169,woman,31.58471306,6.832883456,1,0,0,64850.91284
170,woman,34.60429412,8.084967016,1,0,0,71626.52626
171,woman,31.59363826,9.095349402,0,0,0,90134.75955
172,woman,34.28415306,8.899581996,1,0,0,60517.69879
173,woman,26.74487203,12.01240779,1,0,0,93227.89956
174,woman,24.82878579,9.126098559,1,0,0,75880.15648
175,woman,33.40797259,7.139529306,0,0,1,99640.37267
176,woman,25.98295168,7.214490167,0,0,0,110651.823
177,woman,26.55225111,9.225563353,0,0,1,143443.2666
178,woman,27.72233748,7.290116189,1,0,0,56120.6115
179,woman,30.0873958,7.906817182,0,0,0,119780.068
180,woman,28.23003044,9.594480049,0,0,0,124547.8362
181,woman,23.12524353,7.941600814,0,0,0,109913.7093
182,woman,26.78190799,7.6253869,0,0,0,48783.53343
183,woman,18.88298424,7.466763768,0,0,0,101611.506
184,woman,33.12615726,6.818217136,0,0,0,119053.0755
185,woman,21.98971172,8.89812142,1,0,0,78182.36075
186,woman,24.4780833,8.931072278,0,0,0,80448.94096
187,woman,30.2608254,10.7540898,0,0,0,69703.51988
188,woman,26.30218502,8.748839629,0,0,0,59737.96952
189,woman,37.71507298,12.12789086,1,0,0,79203.06726
190,woman,23.53571545,6.992982382,0,0,0,87078.02146
191,woman,31.33525435,12.52810333,1,0,0,107408.9294
192,woman,29.80358591,9.640077135,0,0,1,76714.53418
193,woman,24.15953251,8.752449278,0,0,0,115044.2775
194,woman,32.6163833,8.269972475,0,0,0,106071.3779
195,woman,29.14226834,6.502809018,0,0,0,92793.51745
196,woman,33.85895276,6.61606434,1,0,0,92140.84867
197,woman,34.11752077,4.98370981,0,0,0,111345.146
198,woman,40.81617975,6.289846971,0,0,0,91477.37706
199,woman,36.68263975,7.330644232,1,0,0,64093.09885
200,woman,28.15409081,7.459121528,0,0,0,95926.22998
201,woman,28.80310411,9.489697941,0,0,0,124927.5725
202,woman,35.49829798,9.273650912,0,0,0,133643.1786
203,woman,33.27631865,10.38188037,0,0,0,96665.13929
204,woman,33.20065763,7.269516819,0,0,0,75264.15849
205,woman,21.91521978,8.053339385,0,0,0,108680.8596
206,woman,29.87836938,8.371404626,0,0,0,121584.6628
207,woman,26.30984545,3.742195108,0,0,0,62317.56798
208,woman,31.399623,7.877597686,0,0,0,121535.8043
209,woman,29.50924805,7.670577782,0,0,0,72243.87713
210,woman,34.55089454,11.19657843,0,0,0,121187.8744
211,woman,31.58609108,8.756777637,1,0,0,62050.73229
212,woman,33.93163981,6.224061276,0,0,0,72870.04423
213,woman,27.66790452,8.319366472,0,0,0,72040.03959
214,woman,25.27776872,9.940417725,0,0,0,61857.86326
215,woman,27.94975153,7.135445923,1,0,0,86767.84522
216,woman,29.91489793,9.524598784,0,0,0,126677.1833
217,woman,31.89575868,6.017479355,0,0,0,113376.5596
218,woman,41.29654475,7.958783673,1,0,0,105791.3082
219,woman,29.78871424,4.264828554,1,0,0,45421.39343
220,woman,25.220275,10.65946369,0,0,1,148490.8986
221,woman,28.27009112,7.428869908,0,0,0,70103.88088
222,woman,27.68202013,8.81092597,1,0,1,67122.56225
223,woman,32.40740737,6.638159309,0,0,1,115636.3689
224,woman,22.29601493,6.973225627,0,0,0,104198.7438
225,woman,30.31630997,4.213857872,1,0,0,41740.83449
226,woman,30.78253269,7.843651603,0,0,0,120491.4539
227,woman,31.16090518,7.081745721,0,0,0,117480.1449
228,woman,27.01341966,10.87661378,0,0,0,128069.1925
229,woman,28.81039135,9.907464089,1,0,0,69949.97709
230,woman,22.87969546,6.180267931,0,0,0,68084.48219
231,woman,27.53340058,6.878765067,0,0,0,111289.5488
232,woman,27.28569262,5.741879947,0,0,0,105364.4593
233,woman,32.08025023,10.05079152,0,0,0,81905.76501
234,woman,24.21908784,5.295309041,1,0,0,61954.49387
235,woman,33.90599051,8.679073096,1,0,0,48731.98143
236,woman,37.47242272,9.419294403,0,0,0,137110.8315
237,woman,19.65007487,7.065037312,1,0,0,69231.99604
238,woman,32.13129365,4.709752406,0,0,0,107062.9609
239,woman,33.38454018,9.621503446,0,0,0,94249.00223
240,woman,26.81281487,11.43477087,1,0,0,98897.86945
241,woman,28.01364093,7.889262409,0,0,0,50702.32247
242,woman,29.33559711,8.777869346,0,0,0,75260.51593
243,woman,28.5110456,5.582637781,0,0,0,106328.3699
244,woman,28.45493515,7.964793312,1,0,0,57229.08916
245,woman,21.61998097,10.54556178,0,0,0,118972.5458
246,woman,35.76165782,3.27629898,0,0,0,85605.37548
247,woman,35.39809296,7.817795313,0,0,0,79417.10269
248,woman,25.9331787,6.780145685,0,1,1,73637.78004
249,woman,22.66787836,10.87023799,1,0,0,59757.4456
250,woman,32.60532438,7.41661131,0,0,0,121137.3804
251,woman,27.12106015,8.509254759,0,0,0,99230.59428
252,woman,30.70976582,10.93991364,0,0,1,111853.7078
253,woman,28.40335791,7.930414773,0,0,0,51207.0931
254,woman,33.45769376,10.70863033,1,0,0,67828.7938
255,woman,33.47374572,8.116537361,0,0,0,125612.2461
256,woman,26.37201311,9.423980605,0,0,0,52537.14323
257,woman,23.08318022,10.60833063,0,0,1,85887.7865
258,woman,22.08530801,7.463591428,0,0,0,87208.04703
259,woman,33.0518969,7.225669965,0,0,0,85168.92654
260,woman,24.05570371,10.46667208,0,0,0,52395.4123
261,woman,27.46591823,5.648276124,0,0,0,51665.32792
262,woman,27.01842981,4.85137832,0,0,0,100437.4422
263,woman,29.73716352,8.401676816,0,0,0,62674.8668
264,woman,20.31860097,11.31169904,1,0,0,69771.10395
265,woman,30.94389298,10.79081947,0,0,0,133386.4753
266,woman,32.61945512,8.486397409,0,0,1,64930.42615
267,woman,30.44211044,9.374702459,0,0,0,78195.34412
268,woman,28.44556914,4.920310308,0,0,0,102849.7857
269,woman,30.48700083,3.797547628,0,0,0,60900.92043
270,woman,31.99523173,6.22515152,0,0,0,58688.23386
271,woman,16.13703622,10.1737275,0,0,0,109557.0204
272,woman,39.77956154,6.213376954,1,0,0,90708.23976
273,woman,31.95046661,3.236477742,1,1,1,124201.0967
274,woman,26.73795709,7.535590574,1,0,0,50036.14692
275,woman,28.04523312,9.148982581,0,0,0,122372.4802
276,woman,32.46870889,10.37280946,0,0,0,71234.57615
277,woman,29.4194803,12.19622955,0,1,1,132238.9287
278,woman,19.84657766,5.97140608,1,0,0,43689.8341
279,woman,40.32246431,7.454847399,0,0,0,132428.7336
280,woman,29.44729671,10.2811266,1,0,0,47226.23114
281,woman,35.10086356,7.362377977,0,0,1,147104.2755
282,woman,26.53975076,4.620834923,0,0,0,79546.37268
283,woman,37.68188527,6.180315471,0,0,0,103513.0282
284,woman,31.43171844,6.001520058,0,0,0,112629.2138
285,woman,33.04421917,8.594148449,0,0,0,127137.6913
286,woman,24.77373317,8.947842496,1,0,0,81726.59417
287,woman,36.05572645,7.210747742,0,0,0,125138.9639
288,woman,33.44909082,9.931496065,0,0,0,114481.2451
289,woman,36.50923115,8.342864415,0,0,0,131004.9989
290,woman,26.8595622,7.054841001,0,0,1,132106.8317
291,woman,27.59486441,8.158641243,0,0,0,71490.07548
292,woman,41.51958349,5.578092442,0,0,0,59001.67402
293,woman,24.69992089,6.057002159,0,0,0,61779.99967
294,woman,29.3202515,5.019380476,1,0,0,80806.26936
295,woman,35.68445681,9.096234044,0,0,0,95374.10768
296,woman,30.48862484,5.345156992,0,0,0,107972.7165
297,woman,32.9147684,8.206732875,0,0,0,88648.26145
298,woman,28.00275485,8.648185646,0,0,0,120117.6791
299,woman,31.85027944,7.81447171,0,0,0,102894.9513
300,woman,23.46736574,6.42806315,0,0,0,49570.07548
301,woman,38.2906534,7.17986798,0,0,0,80815.50556
302,woman,29.40917977,8.269968539,0,0,0,101452.9871
303,woman,26.59910898,6.775394286,0,0,0,90448.54896
304,woman,33.33191541,7.035621977,1,0,0,79287.19728
305,woman,27.69640106,7.977272992,0,0,0,116659.1307
306,woman,23.32870764,6.738917831,0,0,0,62348.35795
307,woman,23.26641247,6.710494296,0,0,0,62189.18717
308,woman,33.46886576,9.917622669,0,0,1,111719.1614
309,woman,29.20213281,12.17148486,0,0,0,136212.9137
310,woman,29.3314922,11.27238396,1,0,0,101498.5766
311,woman,35.38871903,7.838137994,0,0,0,127099.0448
312,woman,24.36587096,8.835111408,0,0,1,56584.83362
313,woman,26.34661124,9.11529508,0,0,0,60820.2038
314,woman,28.07560095,10.30959056,0,0,0,108307.1774
315,woman,30.47175795,6.182364257,0,0,0,77810.64667
316,woman,29.78914274,5.335605611,0,0,0,65277.53811
317,woman,28.56556404,6.601266613,0,0,0,111440.5425
318,woman,29.69186799,9.676868198,0,0,0,78164.92566
319,woman,29.46347362,7.988656861,1,0,0,84301.82469
320,woman,26.40197806,8.192629101,1,0,0,40911.83344
321,woman,25.93503506,3.918716153,0,0,0,62605.17009
322,woman,31.37258179,6.86013248,0,0,0,71924.28623
323,woman,25.54542459,8.421845432,1,0,0,88166.32524
324,woman,24.2132237,8.351727442,0,0,0,78037.38635
325,woman,28.43853874,7.773444104,1,0,0,82335.58951
326,woman,29.21166492,7.72227206,1,0,0,42697.98083
327,woman,41.28361749,6.865073172,0,0,0,112024.337
328,woman,26.47649862,5.81445157,0,0,0,104562.395
329,woman,34.71630362,8.932967354,0,0,0,81854.07466
330,woman,33.73594167,10.69073192,0,0,1,72030.15681
331,woman,24.05527522,9.928596848,1,0,0,56881.74477
332,woman,33.86626489,8.347078257,0,0,0,127218.052
333,woman,24.0805968,6.786777774,0,0,0,63356.30496
334,woman,16.70413881,4.325421365,1,0,0,36986.12845
335,woman,33.03159762,8.197955055,0,0,0,88765.78466
336,woman,21.22054708,5.880851274,0,0,0,97325.19048
337,woman,32.25467231,4.503098553,1,0,0,82415.55449
338,woman,26.57994551,10.76874995,0,0,0,108014.0237
339,woman,38.29775398,8.016709086,0,0,0,132104.9312
340,woman,35.342547,8.662228922,0,0,0,130749.1768
341,woman,27.73307098,7.533959443,1,0,0,55566.54144
342,woman,26.56081194,7.131611063,0,0,0,76501.84005
343,woman,23.92961298,7.206154404,1,0,0,68443.1175
344,woman,27.79538684,6.441638299,1,0,0,48637.8627
345,woman,28.59822252,10.3173746,0,0,0,90464.04535
346,woman,28.17653228,6.425851259,1,0,1,99357.16141
347,woman,30.78351928,5.356939208,1,0,0,53625.44509
348,woman,32.89260749,9.059579017,0,0,0,128964.7643
349,woman,31.74827228,6.991482858,0,0,0,60786.9735
350,woman,26.17928038,4.797204167,0,0,0,79947.62463
351,woman,22.81104263,9.286820656,1,0,0,87613.54165
352,woman,36.82265924,5.778622255,1,0,0,92740.32313
353,woman,26.55275408,10.0646627,0,0,1,147711.6361
354,woman,26.738532,8.050646704,0,0,0,115614.1785
355,woman,27.39405344,6.934776052,0,0,0,67602.07428
356,woman,20.78465225,6.581699704,1,0,0,76121.2003
357,woman,27.61012998,10.22921614,0,0,0,126306.8723
358,woman,27.60172093,8.64922149,0,0,0,100544.7793
359,woman,33.10179149,8.865624571,0,0,0,91255.84706
360,woman,33.49228575,8.212301537,0,0,0,78392.80347
361,woman,30.01885445,9.993601869,0,0,0,79394.41992
362,woman,34.65924187,4.859996268,0,0,0,77779.84598
363,woman,31.69982492,9.822264192,0,0,0,92776.05638
364,woman,29.92158944,7.623967056,0,0,0,82664.52119
365,woman,30.80464084,8.144037536,0,0,0,75119.52013
366,woman,29.04673253,7.655465198,1,0,0,64345.09123
367,woman,28.02575243,5.408719346,0,0,1,124250.3438
368,woman,28.66133232,8.324646686,0,0,0,100622.1679
369,woman,24.35994334,9.90667521,0,0,0,120289.2164
370,woman,31.40220853,9.690686601,0,0,0,129522.869
371,woman,25.03438195,10.04940495,1,0,0,66143.44085
372,woman,34.20815632,9.662832665,0,0,0,95444.4633
373,woman,28.7527071,8.433830666,0,0,0,120243.3452
374,woman,30.24747491,5.678886659,0,0,0,109313.3303
375,woman,32.46918388,9.240530122,0,0,0,129138.5506
376,woman,33.21657233,9.584574796,0,0,0,93907.57765
377,woman,22.14688296,5.711279789,0,0,0,97811.12328
378,woman,28.96548162,7.688905965,0,0,0,71676.28615
379,woman,34.40089456,8.410986916,0,0,0,128274.4975
380,woman,21.5094709,7.860623409,0,0,1,128028.5375
381,woman,31.93640238,11.13449963,1,0,0,76340.86249
382,woman,18.72217885,6.721496203,0,0,0,78846.50304
383,woman,24.88746578,9.200922575,0,0,1,69122.03622
384,woman,30.19315276,8.561763286,0,0,1,145801.1146
385,woman,21.71642449,9.939526857,0,0,0,116619.7173
386,woman,25.07244631,10.79880974,0,0,0,124963.5615
387,woman,22.64082496,6.126027143,0,0,0,100586.2943
388,woman,38.24067466,5.880301183,0,0,0,86548.12208
389,woman,30.82113878,9.383126111,0,0,0,66682.18714
390,woman,32.83645139,8.051459403,0,0,0,77173.61253
391,woman,28.8866245,9.134659943,0,0,0,75750.01183
392,woman,28.23284126,4.075524589,0,0,0,79099.53281
393,woman,21.91762906,6.464857771,0,0,0,59882.26094
394,woman,28.54081319,8.725096298,1,0,0,92792.89427
395,woman,26.19253894,9.598988009,0,0,0,61979.42135
396,woman,34.28961962,7.895860936,0,0,0,125781.0936
397,woman,35.70550933,8.137637749,0,0,0,128921.6671
398,woman,37.33289358,9.47805307,0,0,0,86362.84948
399,woman,34.2627597,8.522133338,1,0,1,116057.3729
400,woman,27.00673032,4.806923184,0,0,0,48379.26666
401,woman,24.42051507,8.691659807,0,0,0,115151.6711
402,woman,33.83331591,6.49573881,0,0,0,99514.26371
403,woman,31.78146409,5.358209721,1,0,0,50093.30758
404,woman,21.15730775,9.026726915,1,0,0,59301.25728
405,woman,31.77740896,9.353848709,0,0,0,128629.7284
406,woman,34.07259911,9.682955466,0,0,0,83193.04145
407,woman,30.29462795,11.57417426,1,0,0,103525.3395
408,woman,29.07473164,9.003360145,1,0,0,55508.04546
409,woman,25.96175756,9.255977694,1,0,0,44286.41989
410,woman,22.7673265,7.948165972,0,0,0,109428.3183
411,woman,34.00148975,8.171707881,0,0,0,126622.1848
412,woman,28.45442778,7.770108961,1,0,0,52270.53096
413,woman,28.83266669,6.016250338,0,0,0,54408.29513
414,woman,38.66360593,10.79333762,0,0,0,68324.45538
415,woman,33.42250553,9.063840761,1,0,0,99812.74229
416,woman,31.85412501,8.174502304,0,0,0,104542.6254
417,woman,30.71030903,10.44760432,0,0,0,81389.55109
418,woman,37.5999743,6.708511081,0,0,0,124967.9792
419,woman,38.59794654,9.229762122,0,0,1,100837.6454
420,woman,34.64752556,7.411230231,0,0,0,56469.36851
421,woman,32.91112296,6.46473067,0,0,1,138424.4654
422,woman,19.52698464,4.008408707,0,0,0,85203.92148
423,woman,30.61860957,8.001241395,0,0,0,84956.38846
424,woman,29.34946523,7.14340445,1,0,0,43167.78557
425,woman,30.46976615,7.266171495,1,0,1,67982.02465
426,woman,34.71523044,7.533001486,0,0,0,124718.6098
427,woman,16.30161416,7.637389341,1,0,0,67118.52752
428,woman,27.15343973,12.76874712,0,0,1,82868.30218
429,woman,31.34952177,8.054962797,0,0,0,75482.81352
430,woman,27.66577227,7.439658778,0,0,1,56362.39805
431,woman,22.91546943,8.029902696,0,0,0,110014.5429
432,woman,34.34481743,7.470167283,0,0,0,87749.1241
433,woman,31.38435953,8.404449213,1,0,1,86483.82126
434,woman,25.14447715,7.230536592,0,0,0,109520.0866
435,woman,31.57408602,5.684769282,0,0,0,111253.2025
436,woman,34.10792856,11.29573544,1,0,0,69586.70318
437,woman,30.02646323,9.164149417,0,0,0,125291.104
438,woman,34.00282402,7.584175924,1,0,0,95663.12198
439,woman,30.39130088,7.719083885,0,0,0,73397.03058
440,woman,28.02385509,9.950133592,0,0,0,88502.78445
441,woman,24.20289742,6.668640481,1,0,0,56258.83734
442,woman,29.57034617,5.896898516,0,0,0,75516.78677
443,woman,30.97146469,6.963719339,0,0,0,71783.32641
444,woman,34.37916381,7.85529718,0,0,0,57261.64294
445,woman,29.42446266,9.849387295,1,0,0,70482.03218
446,woman,32.28707803,10.11170349,0,1,1,213017.5647
447,woman,25.17693993,7.476418238,0,0,0,110719.8469
448,woman,26.08685422,8.02001577,0,0,0,57390.02223
449,woman,29.4480535,10.87690806,0,0,0,81060.24183
450,woman,24.72685768,4.958732293,1,0,0,46590.19579
451,woman,34.10123919,9.539219068,1,0,0,50355.3769
452,woman,32.31565165,6.433940184,1,1,1,142218.524
453,woman,31.39547882,6.668366876,1,0,0,89329.55344
454,woman,31.69452063,9.717465983,0,0,0,92413.28606
455,woman,40.10521781,8.060472348,1,0,0,97480.93353
456,woman,27.65567906,9.465053174,0,0,0,75256.41076
457,woman,18.99279357,9.352752616,0,0,0,74902.51023
458,woman,30.99650098,6.065991491,0,0,0,78019.13883
459,woman,29.7469823,9.087333017,0,0,1,89300.00085
460,woman,27.41240479,7.814206729,1,0,0,88424.67884
461,woman,25.1058507,8.545709592,0,0,0,115491.0809
462,woman,27.80405239,9.495302275,1,0,0,94337.10677
463,woman,30.90669215,9.636569266,0,0,0,128580.5567
464,woman,27.4859165,8.080300468,0,0,0,97825.24507
465,woman,42.0622684,8.140721517,0,0,0,87988.58298
466,woman,25.19747809,9.420149491,0,0,0,119438.5677
467,woman,26.03441319,5.638117729,0,0,0,103041.523
468,woman,18.5568998,8.305135842,0,0,0,49605.88586
469,woman,31.25742208,5.127881767,1,0,0,53549.59858
470,woman,19.91796686,6.127419194,0,0,0,37891.84434
471,woman,27.30272683,9.302572676,0,0,0,85365.22214
472,woman,28.62164733,13.1119642,0,0,0,138792.5111
473,woman,26.45136017,7.020332609,1,0,0,44521.75976
474,woman,38.69436339,6.885904167,0,0,0,59396.92867
475,woman,34.97197196,8.616448825,0,0,0,81249.4233
476,woman,36.59568438,7.746397613,0,0,0,80575.84894
